Girdner Trail	girdner	wsedona	Trailhead near Yavapai College			https://www.google.com/maps/dir/Current+Location/34.85273,-111.83151	
Endurance	endurance		Verde Valley Medical Center	3700 W SR 89A, 86336		https://www.google.com/maps/dir/Current+Location/34.855979,-111.82324	
Sedona Public Library Main Branch	library			3250 White Bear Rd, 86336		https://www.google.com/maps/dir/Current+Location/34.862258,-111.818537	
5 Piece Band	5piece		Near library	70 Dry Creek Rd, 86336		https://www.google.com/maps/dir/Current+Location/34.862438,-111.815559	
Morphed Statue	morphed		Sedona New Day Spa	3004 SR 89A, 86336		https://www.google.com/maps/dir/Current+Location/34.862086,-111.812984	
Eagle With Skulls	eskulls		Vino Di Sedona across from Barking Frog	2575 SR 89A, 86336		https://www.google.com/maps/dir/Current+Location/34.862326,-111.805368	
Barking Frog	barking		Barking Frog Grille	2620 SR 89A, 86336		https://www.google.com/maps/dir/Current+Location/34.862927,-111.805654	
Amitabha Stupa Entrance	stupae		N of 89A up Andante	2650 Pueblo Dr, 86336		https://www.google.com/maps/dir/Current+Location/34.873864,-111.806901	
Amitabha Stupa	stupa		N of 89A up Andante	2650 Pueblo Dr, 86336		https://www.google.com/maps/dir/Current+Location/34.875581,-111.808292	
Sedona Rouge Spa Sculpture	rouge		E of Safeway	2250 W SR 89A, 86336		https://www.google.com/maps/dir/Current+Location/34.864608,-111.799647	
Ellie's Playground	ellies		Sunset Park	655 Sunset Dr, 86336		https://www.google.com/maps/dir/Current+Location/34.855197,-111.79712	
Dahl and Diluca Fountain	dahl		Italian restaurant	2321 SR 89A, 86336		https://www.google.com/maps/dir/Current+Location/34.863119,-111.80081	
Fence for Love and Death	fence		Near Basha's	185 Coffee Pot Dr, 86336		https://www.google.com/maps/dir/Current+Location/34.866385,-111.795683	
Starbucks (Basha's)	sbashas		Inside Basha's	160 Coffee Pot Dr, 86336		https://www.google.com/maps/dir/Current+Location/34.866241,-111.794879	
Artistic Mural at India Palace	indiapalace		Near Basha's, close to 89A	1910 SR 89A, 86336		https://www.google.com/maps/dir/Current+Location/34.864305,-111.793687	
UFO Fountain	ufo		Los Rosales Mexican restaurant	1655 SR 89A, 86336		https://www.google.com/maps/dir/Current+Location/34.863186,-111.789113	
Sea Horse	seahorse		Across from Chase Bank near Soldier's Pass. Near Twice Nice, kind of in back.	1305 SR 89A, 86336		https://www.google.com/maps/dir/Current+Location/34.86179,-111.782964	
La Pasada Horse	lapasada		Soldier's Pass and 89A, near antiques	40 Soldiers Pass Rd, 86336		https://www.google.com/maps/dir/Current+Location/34.8628,-111.783023	
The Melting Point	melting		The Melting Point art gallery	1449 W SR 89A, 86336		https://www.google.com/maps/dir/Current+Location/34.862719,-111.785717	
St John Vianney Catholic Church	vianney		Up Soldier's Pass. Side of church.  Note one-way driveway.	180 St John Vianney Lane, 86336		https://www.google.com/maps/dir/Current+Location/34.865223,-111.781088	
Shrine of the Red Rocks	shrine		Hard to find, near Airport Rd			https://www.google.com/maps/dir/Current+Location/34.853856,-111.787659	
Sedona Airport	airport		Near Air Terminal Dr	1221 Airport Rd, 86336		https://www.google.com/maps/dir/Current+Location/34.851643,-111.789664	
Great Sinkhole	sinkhole		N on Soldier's Pass	255 Rim Shadows Dr, 86336		https://www.google.com/maps/dir/Current+Location/34.886303,-111.782369	You have to hike
Sedona, AZ: Sedona Heritage Museum	hyatt	uptown	Starbucks in Hyatt area			https://www.google.com/maps/dir/Current+Location/34.867024,-111.762897	Seems to be mislabelled
Panther Fountain	panther	uptown	Behind Best Western	400 N SR 89A, 86336		https://www.google.com/maps/dir/Current+Location/34.871807,-111.757969	
Indian Carved in Wood	indian	uptown	Sedona Pizza & Pasta Company	320 N SR 89A, 86336		https://www.google.com/maps/dir/Current+Location/34.871573,-111.758904	
Sedona News Boy	newsboy	uptown	Sedona Red Rock News	101 Mesquite Ave, 86336		https://www.google.com/maps/dir/Current+Location/34.870505,-111.761948	
Jordan Historical Park	jordan	uptown	Jordan Historical Park	720 Jordan Rd, 86336		https://www.google.com/maps/dir/Current+Location/34.878142,-111.761446	
Made in AZ Fountain	thaipalace	uptown	Thai Palace Uptown	276 Van Deren Rd, 86336		https://www.google.com/maps/dir/Current+Location/34.869866,-111.761822	
Sedona, AZ: Heart of the West	cowboy	uptown	Cowboy Club	241 N SR 89A, 86336		https://www.google.com/maps/dir/Current+Location/34.869622,-111.76124	
Center for the New Age Mural	newage		Tlaquepaque North	341 AZ-179, 86336		https://www.google.com/maps/dir/Current+Location/34.862849,-111.762483	
Fountain	tlaq		Tlaquepaque	336 AZ-179, 86336		https://www.google.com/maps/dir/Current+Location/34.862162,-111.762678	
Unity	unity		Hillside, S of Tlaquepaque	62 Royal Glen Ln, 86336		https://www.google.com/maps/dir/Current+Location/34.858919,-111.762531	
Follow The Leader	follow		Hillside, S of Tlaquepaque	671 AZ-179, 86336		https://www.google.com/maps/dir/Current+Location/34.858497,-111.763576	
Stage Coach	stage		0.8 miles S of Tlaquepaque on AZ-179	177 Copper Cliffs Ln, 86336		https://www.google.com/maps/dir/Current+Location/34.852163,-111.765381	
Fireplace	fireplace		Son-Silver-West Galleries	1476 AZ-179, 86336		https://www.google.com/maps/dir/Current+Location/34.847055,-111.766866	
Building 4 Fountain	building4			139 Doodlebug Rd, 86336		https://www.google.com/maps/dir/Current+Location/34.845327,-111.774702	
Mallard Water Fall	mallard			2 East Mallard Dr, 86336	Dubious cell reception	https://www.google.com/maps/dir/Current+Location/34.839647,-111.776062	
Chapel of the Holy Cross	holycross			780 Chapel Rd, 86336		https://www.google.com/maps/dir/Current+Location/34.832087,-111.766699	
Sedona Menorah	menora			100 Meadowlark Dr, 86336		https://www.google.com/maps/dir/Current+Location/34.831142,-111.776817	
Sedona United Methodist Church	methodist			110 Indian Cliffs Rd		https://www.google.com/maps/dir/Current+Location/34.826201,-111.777625	
Water Made a Difference	difference			Chavez Crossing Rd, 86336		https://www.google.com/maps/dir/Current+Location/34.825707,-111.803811	
Surviving From Plants	surviving		Yavapai Vista, near restroom	Yavapai Trail, 86351		https://www.google.com/maps/dir/Current+Location/34.807323,-111.769884	
Courthouse Vista	courthouse		Scenic outlook on E side of AZ-179	Bell Rock Access Trail, 86336		https://www.google.com/maps/dir/Current+Location/34.805725,-111.766317	
Upper Bell Rock Trail	upperbell			Bell Rock Trail, 86351		https://www.google.com/maps/dir/Current+Location/34.802538,-111.764365	
